RowNumber,CustomerId,Surname,CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited,BalanceSegment,TenureSegment,CreditSegment,MonetaryValue,Frequency,Recency,EstimatedAnnualValue,EstimatedLifetime,EstimatedCLV
1,15634602,Hargrave,619,France,Female,42,2,0.0,1,1,1,101348.88,1,,New (0-2y),Fair (580-670),0.0,1,9,1000.0,7,0.0
2,15647311,Hill,608,Spain,Female,41,1,83807.86,1,0,1,112542.58,0,Medium (50-100K),New (0-2y),Fair (580-670),83807.86,1,10,2676.1572,6,16056.943200000002
3,15619304,Onio,502,France,Female,42,8,159660.8,3,1,0,113931.57,1,High (100-200K),Mature (5-8y),Poor (<580),159660.8,3,3,6193.216,8,0.0
4,15701354,Boni,699,France,Female,39,1,0.0,2,0,0,93826.63,0,,New (0-2y),Good (670-740),0.0,2,10,2000.0,1,2000.0
5,15737888,Mitchell,850,Spain,Female,43,2,125510.82,1,1,1,79084.1,0,High (100-200K),New (0-2y),Excellent (800+),125510.82,1,9,3510.2164000000002,7,24571.5148
6,15574012,Chu,645,Spain,Male,44,8,113755.78,2,1,0,149756.71,1,High (100-200K),Mature (5-8y),Fair (580-670),113755.78,2,3,4275.1156,8,0.0
7,15592531,Bartlett,822,France,Male,50,7,0.0,2,1,1,10062.8,0,,Mature (5-8y),Excellent (800+),0.0,2,4,2000.0,12,24000.0
8,15656148,Obinna,376,Germany,Female,29,4,115046.74,4,1,0,119346.88,1,High (100-200K),Growing (2-5y),Poor (<580),115046.74,4,7,6300.9348,4,0.0
9,15792365,He,501,France,Male,44,4,142051.07,2,0,1,74940.5,0,High (100-200K),Growing (2-5y),Poor (<580),142051.07,2,7,4841.0214,9,43569.192599999995
10,15592389,H?,684,France,Male,27,2,134603.88,1,1,1,71725.73,0,High (100-200K),New (0-2y),Good (670-740),134603.88,1,9,3692.0776,7,25844.5432
11,15767821,Bearce,528,France,Male,31,6,102016.72,2,0,0,80181.12,0,High (100-200K),Mature (5-8y),Poor (<580),102016.72,2,5,4040.3343999999997,6,24242.0064
12,15737173,Andrews,497,Spain,Male,24,3,0.0,2,1,0,76390.01,0,,Growing (2-5y),Poor (<580),0.0,2,8,2000.0,3,6000.0
13,15632264,Kay,476,France,Female,34,10,0.0,2,1,0,26260.98,0,,Loyal (8y+),Poor (<580),0.0,2,1,2000.0,10,20000.0
14,15691483,Chin,549,France,Female,25,5,0.0,2,0,0,190857.79,0,,Growing (2-5y),Poor (<580),0.0,2,6,2000.0,5,10000.0
15,15600882,Scott,635,Spain,Female,35,7,0.0,2,1,1,65951.65,0,,Mature (5-8y),Fair (580-670),0.0,2,4,2000.0,12,24000.0
16,15643966,Goforth,616,Germany,Male,45,3,143129.41,2,0,1,64327.26,0,High (100-200K),Growing (2-5y),Fair (580-670),143129.41,2,8,4862.5882,8,38900.7056
17,15737452,Romeo,653,Germany,Male,58,1,132602.88,1,1,0,5097.67,1,High (100-200K),New (0-2y),Fair (580-670),132602.88,1,10,3652.0576,1,0.0
18,15788218,Henderson,549,Spain,Female,24,9,0.0,2,1,1,14406.41,0,,Loyal (8y+),Poor (<580),0.0,2,2,2000.0,14,28000.0
19,15661507,Muldrow,587,Spain,Male,45,6,0.0,1,0,0,158684.81,0,,Mature (5-8y),Fair (580-670),0.0,1,5,1000.0,6,6000.0
20,15568982,Hao,726,France,Female,24,6,0.0,2,1,1,54724.03,0,,Mature (5-8y),Good (670-740),0.0,2,5,2000.0,11,22000.0
21,15577657,McDonald,732,France,Male,41,8,0.0,2,1,1,170886.17,0,,Mature (5-8y),Good (670-740),0.0,2,3,2000.0,13,26000.0
22,15597945,Dellucci,636,Spain,Female,32,8,0.0,2,1,0,138555.46,0,,Mature (5-8y),Fair (580-670),0.0,2,3,2000.0,8,16000.0
23,15699309,Gerasimov,510,Spain,Female,38,4,0.0,1,1,0,118913.53,1,,Growing (2-5y),Poor (<580),0.0,1,7,1000.0,4,0.0
24,15725737,Mosman,669,France,Male,46,3,0.0,2,0,1,8487.75,0,,Growing (2-5y),Fair (580-670),0.0,2,8,2000.0,8,16000.0
25,15625047,Yen,846,France,Female,38,5,0.0,1,1,1,187616.16,0,,Growing (2-5y),Excellent (800+),0.0,1,6,1000.0,10,10000.0
26,15738191,Maclean,577,France,Male,25,3,0.0,2,0,1,124508.29,0,,Growing (2-5y),Poor (<580),0.0,2,8,2000.0,8,16000.0
27,15736816,Young,756,Germany,Male,36,2,136815.64,1,1,1,170041.95,0,High (100-200K),New (0-2y),Very Good (740-800),136815.64,1,9,3736.3128,7,26154.1896
28,15700772,Nebechi,571,France,Male,44,9,0.0,2,0,0,38433.35,0,,Loyal (8y+),Poor (<580),0.0,2,2,2000.0,9,18000.0
29,15728693,McWilliams,574,Germany,Female,43,3,141349.43,1,1,1,100187.43,0,High (100-200K),Growing (2-5y),Poor (<580),141349.43,1,8,3826.9886,8,30615.9088
30,15656300,Lucciano,411,France,Male,29,0,59697.17,2,1,1,53483.21,0,Medium (50-100K),,Poor (<580),59697.17,2,11,3193.9434,5,15969.717
